well	type	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5	32	32.5	33	33.5	34	34.5	35	35.5	36	36.5	37	37.5	38	38.5	39	39.5	40	40.5	41	41.5	42
B1	Blank-	0.1392	0.1392	0.1395	0.1395	0.1401	0.1401	0.1406	0.1407	0.1409	0.1415	0.1418	0.1432	0.1443	0.1457	0.1474	0.1485	0.1503	0.152	0.1533	0.1545	0.1561	0.1572	0.1583	0.1595	0.1603	0.1615	0.1623	0.1631	0.1639	0.1643	0.1651	0.1661	0.1666	0.1671	0.1676	0.1684	0.1687	0.1695	0.1696	0.1704	0.1702	0.1711	0.1714	0.1717	0.1713	0.1724	0.173	0.1733	0.1738	0.1739	0.1743	0.1749	0.1752	0.1756	0.1758	0.176	0.1769	0.1769	0.1768	0.1775	0.1774	0.1781	0.1785	0.1787	0.1787	0.1793	0.1795	0.1797	0.1796	0.1802	0.1806	0.1809	0.1808	0.1817	0.1814	0.1819	0.182	0.1827	0.1821	0.1832	0.183	0.1838	0.1835	0.1843	0.184
B2	WT-	0.1917	0.1924	0.1968	0.2013	0.2048	0.208	0.2121	0.2158	0.2201	0.2255	0.2322	0.2398	0.2505	0.2627	0.2715	0.2803	0.2917	0.304	0.3181	0.3326	0.3483	0.3649	0.3781	0.388	0.4021	0.4114	0.421	0.4347	0.447	0.4542	0.4664	0.478	0.4921	0.5027	0.5133	0.523	0.5372	0.5505	0.5573	0.5641	0.5687	0.5745	0.5828	0.592	0.6024	0.6111	0.6211	0.6349	0.6455	0.6515	0.6615	0.6727	0.6841	0.693	0.7039	0.7147	0.7251	0.7307	0.7406	0.7498	0.7571	0.7663	0.7719	0.779	0.7851	0.7889	0.7952	0.8005	0.805	0.8095	0.8126	0.8154	0.8196	0.8234	0.8255	0.8276	0.8301	0.8322	0.8343	0.8374	0.8392	0.8418	0.8437	0.846	0.8488
B3	dTom NI	0.1945	0.1942	0.1961	0.1991	0.2004	0.2023	0.2045	0.2066	0.209	0.2118	0.2158	0.2197	0.2251	0.2304	0.2368	0.2459	0.2564	0.2671	0.2775	0.2874	0.2979	0.309	0.3188	0.3311	0.3427	0.3544	0.3641	0.3755	0.3861	0.3929	0.4093	0.4139	0.4239	0.4387	0.4471	0.4558	0.4668	0.48	0.4908	0.5002	0.5108	0.5204	0.5271	0.5318	0.5367	0.5438	0.5492	0.5591	0.5671	0.5753	0.5849	0.599	0.6046	0.6108	0.625	0.6324	0.645	0.6527	0.6625	0.671	0.6847	0.6925	0.7007	0.7109	0.7179	0.7297	0.7374	0.7437	0.7504	0.7567	0.764	0.7664	0.7746	0.7802	0.7832	0.7882	0.7917	0.7956	0.7978	0.8015	0.8042	0.8067	0.809	0.8113	0.8127
B4	dTom-	0.196	0.1946	0.1969	0.1989	0.2002	0.2023	0.2039	0.2061	0.2083	0.2111	0.2144	0.2182	0.2236	0.2291	0.2354	0.2444	0.2547	0.2666	0.2768	0.2872	0.2974	0.3081	0.3184	0.3285	0.3397	0.3498	0.3601	0.3706	0.3801	0.3909	0.3976	0.4078	0.4171	0.4244	0.4361	0.4451	0.4546	0.4648	0.4736	0.4844	0.4949	0.5039	0.5078	0.5137	0.5178	0.5261	0.5343	0.5363	0.5473	0.5567	0.5615	0.5671	0.5811	0.5868	0.597	0.6052	0.6136	0.6251	0.6307	0.6386	0.6459	0.6574	0.6648	0.6732	0.681	0.6865	0.698	0.7074	0.7133	0.7209	0.7257	0.7305	0.7395	0.7439	0.7484	0.7556	0.7587	0.7619	0.7644	0.7684	0.7715	0.7745	0.7765	0.778	0.7813
B5	SYFP2 NI	0.19	0.1891	0.1922	0.1945	0.1977	0.2003	0.2006	0.2018	0.2042	0.2064	0.209	0.2129	0.2173	0.2221	0.2282	0.2356	0.2438	0.2535	0.2634	0.2726	0.2807	0.2892	0.2968	0.3063	0.3174	0.3287	0.3404	0.351	0.3548	0.3625	0.3703	0.3828	0.39	0.3989	0.4073	0.4192	0.4295	0.4362	0.4477	0.4628	0.4697	0.479	0.4817	0.4876	0.4914	0.4983	0.5055	0.5131	0.5158	0.525	0.5382	0.5469	0.5555	0.5603	0.5688	0.5777	0.5875	0.5931	0.6009	0.6145	0.6211	0.6294	0.6374	0.6463	0.6508	0.6599	0.6652	0.6758	0.6779	0.6826	0.688	0.6926	0.6965	0.7024	0.703	0.7078	0.7093	0.713	0.7159	0.7182	0.7203	0.7218	0.7233	0.7251	0.7275
B6	SYFP2-	0.1896	0.1882	0.1914	0.1939	0.197	0.1992	0.1992	0.2016	0.203	0.2056	0.2083	0.2119	0.2168	0.2218	0.2278	0.2353	0.2449	0.2558	0.2685	0.2796	0.2907	0.3018	0.3131	0.3257	0.3379	0.3499	0.3633	0.375	0.3884	0.3934	0.4013	0.4082	0.4231	0.4277	0.4406	0.4467	0.4615	0.4696	0.4827	0.4899	0.4983	0.5098	0.5219	0.5234	0.5302	0.5387	0.543	0.549	0.5571	0.5705	0.5736	0.5834	0.5924	0.6034	0.6123	0.6218	0.6305	0.6404	0.6544	0.6622	0.668	0.6875	0.6899	0.694	0.7015	0.7109	0.7182	0.7227	0.7308	0.7373	0.7411	0.7463	0.749	0.7533	0.7592	0.7625	0.766	0.7681	0.7704	0.7733	0.776	0.7782	0.7798	0.7832	0.7848
B7	WT+	0.1923	0.1912	0.1932	0.1951	0.1955	0.1965	0.199	0.2008	0.2022	0.204	0.2061	0.209	0.2123	0.2163	0.221	0.2266	0.2337	0.2418	0.2515	0.2623	0.2743	0.2864	0.2962	0.3048	0.3131	0.3219	0.331	0.3404	0.3511	0.3618	0.3728	0.3786	0.3902	0.402	0.4072	0.4162	0.4273	0.436	0.4471	0.4553	0.4657	0.471	0.4796	0.4839	0.4888	0.4938	0.4997	0.5058	0.5134	0.5195	0.5301	0.536	0.5442	0.5531	0.5598	0.5658	0.5724	0.582	0.5885	0.5987	0.6075	0.6108	0.6218	0.6263	0.6348	0.6407	0.6457	0.6522	0.6554	0.6608	0.6635	0.6684	0.6708	0.6731	0.6762	0.6791	0.6796	0.6822	0.6833	0.6847	0.6854	0.6871	0.6872	0.6873	0.6878
B8	dTom+	0.1947	0.194	0.1966	0.1985	0.2006	0.2025	0.2042	0.2066	0.2085	0.2109	0.214	0.2174	0.2223	0.2268	0.2326	0.241	0.2492	0.2605	0.2715	0.2822	0.2918	0.301	0.3106	0.321	0.33	0.3385	0.3444	0.3488	0.3548	0.3625	0.3722	0.3829	0.3953	0.4068	0.4192	0.4251	0.4371	0.4416	0.4539	0.4591	0.4625	0.4682	0.4744	0.476	0.4856	0.4891	0.4963	0.502	0.5051	0.5145	0.5198	0.5254	0.5298	0.5314	0.5439	0.5511	0.5547	0.564	0.5711	0.5725	0.5823	0.5876	0.5941	0.5999	0.6083	0.6134	0.6168	0.6245	0.6299	0.6298	0.6351	0.6451	0.647	0.6509	0.6534	0.6566	0.6596	0.6605	0.6625	0.6647	0.6671	0.6682	0.668	0.6711	0.6719
B9	dTom+	0.1959	0.1953	0.1981	0.2	0.2023	0.2036	0.2057	0.2078	0.2099	0.2124	0.2151	0.2195	0.2247	0.2317	0.2378	0.2458	0.2563	0.2688	0.2826	0.2928	0.3042	0.3154	0.3272	0.3392	0.3515	0.3631	0.3741	0.3835	0.3932	0.4038	0.4159	0.43	0.4431	0.4523	0.4625	0.4731	0.4849	0.4909	0.5	0.5063	0.5189	0.5224	0.5259	0.5294	0.5375	0.5378	0.5456	0.552	0.5605	0.567	0.5797	0.5843	0.5883	0.5996	0.6083	0.6131	0.622	0.6301	0.6299	0.6428	0.6489	0.6605	0.6679	0.6736	0.6811	0.6838	0.6927	0.7019	0.7092	0.7136	0.719	0.7248	0.7335	0.7351	0.7393	0.7468	0.7484	0.7542	0.7565	0.759	0.7625	0.7645	0.7653	0.7685	0.7699
