well	type	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5	32	32.5	33	33.5	34	34.5	35	35.5	36	36.5	37	37.5	38	38.5	39	39.5	40	40.5	41	41.5	42
B1	Blank-	492	476	478	469	469	472	475	474	473	474	477	483	469	464	467	476	465	475	461	468	472	474	467	467	455	463	466	460	475	463	468	469	462	469	458	462	456	456	456	461	462	457	457	452	456	452	462	462	464	451	454	456	452	457	449	457	460	457	455	457	458	445	451	452	451	446	450	455	453	449	446	455	449	448	449	450	445	449	450	452	443	443	450	446	447
B2	WT-	484	466	475	472	467	468	471	463	471	468	462	467	462	463	457	468	455	464	462	465	450	461	447	453	445	451	450	443	447	440	438	444	444	436	443	439	434	435	433	432	434	427	439	428	437	435	425	434	433	424	427	425	427	425	422	420	421	424	418	417	420	413	418	416	417	408	409	416	413	410	410	406	411	410	412	407	404	407	408	404	407	405	403	403	405
B3	dTom NI	482	464	459	458	463	470	462	457	468	469	472	470	471	469	473	473	465	475	473	478	472	471	467	474	468	474	472	470	472	471	476	476	475	479	485	482	478	482	480	490	489	486	496	496	503	499	503	509	513	511	521	529	522	527	529	541	547	544	544	556	566	553	561	573	580	576	587	592	598	602	606	615	618	625	626	643	659	656	661	666	666	675	684	696	709
B4	dTom-	481	466	467	458	462	463	459	462	469	465	463	473	462	458	466	462	465	465	456	464	458	456	453	454	450	457	450	441	454	453	451	445	452	439	442	437	436	440	438	441	441	438	439	434	435	434	437	433	439	431	428	438	434	432	437	440	430	436	427	426	429	430	428	424	431	421	422	422	418	424	414	418	421	421	421	416	424	414	413	414	418	415	408	414	419
B5	SYFP2 NI	633	618	621	634	652	655	678	692	724	762	779	808	848	890	928	978	1028	1079	1105	1132	1154	1179	1208	1257	1300	1329	1383	1413	1475	1514	1560	1648	1707	1756	1838	1898	1967	2034	2135	2213	2301	2381	2475	2590	2676	2801	2879	3005	3158	3257	3403	3487	3630	3749	3844	4015	4097	4262	4393	4525	4692	4819	4937	5079	5276	5420	5558	5631	5808	5934	6027	6224	6274	6400	6550	6653	6762	6858	6972	7071	7143	7277	7344	7420	7546
B6	SYFP2-	630	617	625	622	622	628	636	632	645	659	658	666	667	675	675	690	696	718	712	718	719	721	721	732	734	740	745	754	757	763	769	778	781	785	793	803	808	826	832	848	861	861	882	887	907	913	937	946	963	970	987	1003	1021	1034	1055	1057	1082	1098	1105	1127	1129	1163	1173	1191	1201	1206	1244	1249	1266	1288	1300	1331	1324	1342	1347	1364	1376	1385	1404	1404	1436	1457	1458	1469	1485
B7	WT+	473	461	459	456	458	459	460	456	461	460	461	460	468	458	460	470	465	467	458	466	460	465	453	459	453	461	464	455	453	459	454	455	448	449	451	450	443	453	444	454	451	449	449	438	442	438	444	445	446	445	447	445	445	440	443	446	439	443	438	444	442	429	442	440	435	430	429	432	434	424	427	430	427	425	423	424	425	423	425	422	425	423	421	426	422
B8	dTom+	467	465	469	468	473	478	477	483	486	485	486	487	490	491	490	493	489	498	488	497	487	494	491	503	497	499	505	494	511	507	510	509	504	504	505	510	503	507	520	514	516	507	519	518	523	526	532	530	538	533	538	544	550	549	558	548	553	558	561	569	574	579	584	582	593	587	596	600	601	604	609	618	618	631	630	644	638	641	650	656	660	674	676	690	685
B9	dTom+	473	471	469	477	483	490	485	489	495	492	490	498	501	489	497	505	500	506	496	496	495	505	507	515	506	511	504	507	517	515	515	516	523	516	517	515	517	518	515	524	524	528	535	529	540	532	544	534	546	544	548	561	556	553	561	567	567	575	578	582	579	579	594	589	599	595	606	616	618	612	624	623	633	631	646	649	653	662	667	668	682	690	691	694	708
